source,target,freq
177,15,1328
3,15,962
76,47,943
19,5,941
5,15,647
111,256,562
19,47,562
5,4,556
5,19,536
207,19,536
19,207,522
47,48,504
373,13,492
19,98,470
76,24,459
19,110,451
80,19,423
469,470,414
19,102,386
84,84,384
18,16,382
110,98,381
19,13,377
110,47,367
102,47,365
129,19,351
111,19,331
13,19,307
47,19,292
101,11,292
14,47,286
57,15,281
13,13,276
15,59,269
47,3,264
97,98,263
3,47,263
5,84,262
19,129,261
19,2,255
129,190,255
47,18,252
255,256,244
274,55,241
4,5,240
255,19,239
207,47,235
76,16,234
36,19,232
