source,target,freq
83,4,1410
48,49,1273
180,181,596
1,4,592
83,145,539
1,39,507
303,4,482
299,523,449
239,31,418
280,249,405
136,46,395
1,20,391
23,319,310
973,483,295
39,17,290
83,46,280
56,57,277
710,32,276
182,523,267
86,46,253
48,848,253
17,15,251
17,260,245
483,163,244
299,39,233
284,160,232
136,105,229
666,80,224
710,4,218
1,145,214
622,86,213
250,191,208
319,23,205
74,76,200
142,7,197
23,274,196
1,23,193
136,76,192
826,4,189
1482,376,182
4,1,175
24,23,175
307,219,170
1,299,169
79,280,168
290,46,168
11,7,167
73,46,167
182,39,167
487,165,165
